iter	MultiClass
0	2.186340486
1	2.108320392
2	2.016329285
3	1.93164409
4	1.864018442
5	1.794769821
6	1.738731531
7	1.666170271
8	1.622898646
9	1.571519148
10	1.521409124
11	1.47070616
12	1.422601773
13	1.375785296
14	1.334947171
15	1.303321161
16	1.270568483
17	1.235314801
18	1.199581131
19	1.17183795
20	1.138166635
21	1.109158216
22	1.08361899
23	1.054992261
24	1.030851261
25	1.009373384
26	0.9857142114
27	0.9622624593
28	0.943202519
29	0.9238407243
30	0.9024668356
31	0.8837587377
32	0.8693243357
33	0.8516019164
34	0.8340915103
35	0.8158335746
36	0.8027526447
37	0.7849762202
38	0.7713703075
39	0.7559361406
40	0.7436497868
41	0.7284077226
42	0.7151640798
43	0.7008042942
44	0.6905013666
45	0.6787278211
46	0.6676971389
47	0.6548256427
48	0.6453387304
49	0.6332795983
50	0.621244193
51	0.6101515148
52	0.5996872194
53	0.5905344432
54	0.5822252997
55	0.572483052
56	0.5620061805
57	0.55397178
58	0.5452944017
59	0.5375834609
60	0.5288857055
61	0.5203900681
62	0.5146491864
63	0.5067404253
64	0.5006336907
65	0.4943779482
66	0.4878998178
67	0.4805365951
68	0.4738274615
69	0.4654927178
70	0.4612644842
71	0.4558500154
72	0.4486116102
73	0.44263664
74	0.4365119484
75	0.4291935281
76	0.4234936876
77	0.418881543
78	0.412867391
79	0.4080080163
80	0.4033706911
81	0.3984284094
82	0.3935468479
83	0.3900055056
84	0.3857414715
85	0.3806998445
86	0.3764473279
87	0.3717788843
88	0.3681448383
89	0.364224728
90	0.3603349533
91	0.3560657481
92	0.3524605708
93	0.347110982
94	0.3440056136
95	0.3407908478
96	0.3356090106
97	0.3325284372
98	0.329503011
99	0.3267162285
100	0.3255956209
101	0.3216100053
102	0.3196714993
103	0.3172274544
104	0.3133848424
105	0.3100592941
106	0.306473186
107	0.30276137
108	0.2997794557
109	0.2980895615
110	0.2937036438
111	0.2921339348
112	0.291909638
113	0.2895571963
114	0.2864289973
115	0.2852092214
116	0.2843313361
117	0.2808915966
118	0.2779020592
119	0.2741303962
120	0.2715259645
121	0.2685808719
122	0.2651900192
123	0.2638492672
124	0.2623803239
125	0.2605336155
126	0.2593869997
127	0.2565317835
128	0.2546851903
129	0.2535996805
130	0.2529932132
131	0.2507534966
132	0.2495721481
133	0.2488423107
134	0.2473700546
135	0.2449860491
136	0.2440912646
137	0.2424949188
138	0.2416478954
139	0.240226465
140	0.2376078725
141	0.2368549938
142	0.2354191994
143	0.2332556598
144	0.231859963
145	0.2291299972
146	0.2286492389
147	0.2273376768
148	0.2258863549
149	0.2257500344
150	0.2249125064
151	0.2247895368
152	0.222981915
153	0.2220237638
154	0.2212171801
155	0.2198121911
156	0.2190782662
157	0.2171973382
158	0.2159340917
159	0.2149568399
160	0.2134671165
161	0.212677085
162	0.2109623993
163	0.2091709479
164	0.2081251084
165	0.2079980749
166	0.207873617
167	0.2067934882
168	0.2055648348
169	0.2042222055
170	0.2038787059
171	0.2032436989
172	0.2027985432
173	0.2015879785
174	0.2010242746
175	0.198595836
176	0.1980149937
177	0.196207805
178	0.1953996061
179	0.1946878778
180	0.1938803366
181	0.1931538659
182	0.1919878707
183	0.1911620011
184	0.1905727963
185	0.1896329268
186	0.1891396886
